appmag,distancefromearth,errdistance,colorindex,absolutemag,TargetClass
9.75,15.12,1.49,0.814,20.647758,1
7.68,3.48,1.04,1.028,15.387896,0
8.94,5.97,1.42,0.409,17.81987,1
8.31,7.07,1.19,0.584,17.557098,1
8.05,1.34,0.85,1.548,13.685524,0
9.24,9.02,1.07,0.529,19.016033,1
4.78,16.48,0.8,0.12,15.864786,1
6.02,12.47,1.28,0.312,16.499332,1
7.98,11.12,1.08,0.396,18.210524,1
8.51,0.58,1.06,0.616,12.32714,0
8.03,7.47,1,0.435,17.396603,1
7.71,7.73,1.13,0.5,17.150898,1
8.49,5.67,0.78,0.426,17.257915,0
8.81,2.72,1.33,1.473,15.982845,0
7.07,18.84,0.62,0.508,18.445404,1
8.12,5.83,1.07,1.117,16.948343,0
9.16,-1.67,1.78,1.045,15.273582,0
10.3,0.63,1.67,0.254,14.296703,1
5.45,3.19,0.77,0.886,12.968954,0
8.57,7.79,1.16,0.874,18.027687,1
7.55,2.03,0.66,1.227,14.087481,0
7.73,6.03,0.72,0.33,16.631586,1
7.43,16.35,0.66,0.482,18.49759,1
6.94,2.51,0.64,1.504,13.938368,1
6.68,20.41,0.58,0.987,18.229216,1
8.75,4.39,1.3,0.44,16.962322,1
8.5,7.25,1.01,0.593,17.80169,1
7.86,3.51,0.98,0.059,15.586536,0
9.27,11.26,1.24,0.652,19.527693,1
8.38,2.46,1.06,1.1,15.334676,0
7.71,5.02,0.87,1.038,16.21352,0
8.14,2.71,0.9,0.972,15.304847,0
9.07,1.32,1.32,0.97,14.67287,0
7.62,17.21,0.76,0.758,18.798904,1
8.11,1.27,1.16,1.067,13.629019,0
9.01,3.3,1.28,1.096,16.60257,0
8.14,14.25,0.83,0.593,18.909073,1
8.13,0.53,0.85,0.154,11.751379,0
8.21,1.97,0.98,1.557,14.682331,0
8.48,-0.45,1.27,2.266,11.746062,0
4.44,10.69,0.78,1.5,14.584888,0
9.6,5.72,1.68,0.425,18.38698,1
9.09,0.18,1.16,1.424,10.366363,0
8.88,6.88,1.18,0.455,18.067944,1
9.24,2.36,1.23,0.983,16.104559,1
7.45,4.36,0.79,0.045,15.647432,1
6.09,8.62,0.72,1.125,15.767536,0
8.84,4.37,1.17,1.042,17.042408,0
7.62,6.23,0.89,0.293,16.592442,1
9.9,2.76,1.31,0.451,17.104546,1
7.94,2.79,0.95,-0.023,15.168021,1
7.85,20.82,0.79,0.556,19.442404,1
7.35,3.47,0.87,1.169,15.051647,0
8.38,5.71,1.49,0.427,17.163181,1
9.22,2.55,1.5,0.993,16.2527,1
8.45,0.87,1.1,1.611,13.147596,0
9.37,3.39,1.22,1.06,17.021,0
7.3,5.8,1.06,1.117,16.11714,0
7.17,1.16,0.82,1.537,12.4922905,0
8.19,3.68,0.88,1.138,16.01924,0
6.25,5.34,0.77,1.368,14.887706,0
8.68,5.87,1.7,0.485,17.523191,1
7.03,16.53,0.82,0.415,18.121365,1
8.49,5.49,1.09,1.107,17.187862,1
9.8,4.4,1.59,0.669,18.017263,1
9.27,7.71,4.08,0.645,18.705273,1
8.71,3.1,1.06,0.922,16.16681,0
8.37,11.18,1.08,0.428,18.61221,1
6.44,7.25,0.71,1.094,15.74169,0
9.12,5.1,0.9,0.463,17.657852,1
7.83,2.91,0.97,1.256,15.149465,0
10.05,10.47,1.42,0.563,20.149734,1
9.9,48.17,1.73,1.318,23.313883,1
5.59,5.19,0.77,1.185,14.165836,0
7.03,2.95,0.96,1.605,14.37911,0
8.76,-0.13,1.41,1.551,9.329717,0
7.96,5.81,1.33,0.544,16.78088,1
9.11,3.8,0.85,1.376,17.008919,0
8.21,4.39,1.24,0.373,16.422321,1
8.07,3.86,1.1,0.088,16.002937,1
6.51,5.62,0.73,0.181,15.258682,0
8.61,11.96,1.03,0.607,18.998655,1
10.58,2.82,2.02,1.316,17.831245,0
9.49,7.26,1.35,0.524,18.794683,1
8.91,-0.39,0.92,1.576,11.865322,1
5.55,2.86,0.7,1.388,12.831831,0
4.67,8.64,0.81,1.047,14.352569,0
8.12,2.93,0.92,0.947,15.454338,0
7.96,2.95,0.82,0.973,15.309111,0
7.66,4.1,0.85,1.298,15.723919,0
8.44,1.51,0.79,1.3,14.334885,0
8.94,6.86,1.41,0.348,18.12162,1
6.59,56.76,0.53,0.749,20.360212,1
6.15,31.39,1.03,0.603,18.633957,1
8.92,19.12,1.25,0.76,20.32744,1
5.81,9.06,0.78,1.466,15.595642,0
6.71,7.29,0.72,0.264,16.023638,1
7.97,1.52,1.08,1.077,13.879217,0
8.25,6.04,1,0.462,17.155186,1
9.04,9.78,1.2,0.52,18.991695,1
9.19,-0.76,1.23,1.547,13.594068,0
6.88,6.89,0.91,1.293,16.071095,0
8.67,5.3,1.3,0.428,17.291378,1
8.94,6.04,1.15,0.536,17.845184,1
6.54,7.14,0.82,0.97,15.808492,0
9.58,4.92,1.34,0.593,18.039825,1
7.31,6.73,0.9,0.402,16.450075,1
7.48,24.65,0.91,0.589,19.439085,1
9.82,0.95,1.59,1.477,14.708618,0
8.76,2.05,1.27,1.743,15.318769,0
6.19,25.59,0.75,0.386,18.230352,1
9.64,1.23,1.24,0.57,15.089526,0
7.98,2.94,1.1,1.212,15.321737,0
9.22,6.94,0.89,0.55,18.426798,1
5.91,9.95,0.89,0.97,15.899115,0
10.45,14.6,1.81,1.072,21.271763,1
6.87,2.77,0.95,1.66,14.082399,0
8.77,1.77,1.26,1.108,15.009867,0
7.03,2.97,0.86,1.557,14.393782,0
5.83,12.47,0.63,0.569,16.309332,1
8.86,9.06,1.17,0.395,18.645641,1
8.64,1.44,1.37,1.397,14.431812,0
10.1,4.33,1.54,0.46,18.28244,1
7.49,0.81,0.79,1.38,12.032425,0
6.66,21.62,0.68,0.462,18.334278,1
6.62,2.9,0.77,1.531,13.93199,0
9.38,3.96,1.34,0.705,17.368477,1
8.36,11.81,0.99,0.531,18.721249,1
9.72,1.62,1.45,0.458,15.767575,1
8.08,1.63,0.9,1.438,14.140938,0
8.99,6.99,1.24,0.549,18.212385,1
6.98,6.72,1.37,1.046,16.116846,0
7.14,2.38,0.82,1.655,14.022884,0
8.85,2.38,1.16,1.255,15.732885,0
8.47,2.92,0.89,1.289,15.796914,0
8.38,0.75,1.06,1.48,12.755306,0
6.98,12.21,0.64,0.309,17.413578,1
8.67,2.84,0.83,0.294,15.936592,0
7.3,20.34,1.04,0.694,18.841755,1
9.45,2.07,1.37,1.115,16.029852,1
8.5,5.87,1.29,0.46,17.343191,1
7.33,0.67,0.7,1.036,11.460374,0
9.73,7.56,1.55,0.501,19.122608,1
6.44,21.53,0.83,0.847,18.10522,1
5.29,12.69,0.63,0.002,15.807309,1
8.72,4.76,1.07,0.462,17.108036,1
7.13,3.16,0.96,1.64,14.628435,0
6.82,3.9,0.79,1.425,14.775324,0
8.18,16.72,1.1,0.53,19.29618,1
7.88,8.55,1.56,0.615,17.53983,1
8.74,2.36,1.11,0.18,15.604559,1
9.56,99.44,1.39,1.463,24.547806,1
7.01,14.04,1.14,0.625,17.746836,1
9.83,4.59,1.67,0.559,18.139065,1
6.8,2.5,0.94,1.578,13.7897005,0
9.12,3.36,1.28,1.404,16.751698,0
9.8,5.9,1.35,0.536,18.65426,1
5.94,4.54,0.76,-0.003,14.225279,0
9.25,1.2,1.34,0.891,14.645906,1
8.71,1.47,1,1.259,14.546587,0
9.91,2.79,2.37,0.446,17.138021,1
10.96,0.19,1.49,-0.049,12.353767,0
8.05,4.44,1.2,0.98,16.286915,0
8.49,2.77,1.11,1.356,15.702399,0
9.34,9.42,1.1,0.645,19.210255,1
9.08,3.67,1.33,1.094,16.90333,0
7.81,15.02,0.83,0.607,18.69335,1
6.85,20.01,0.87,0.569,18.356236,1
9.63,7.15,1.06,0.594,18.901531,1
8.01,16.99,0.99,0.656,19.160967,1
9.23,1.69,2.05,0.489,15.369432,1
8.12,5.94,1.05,1.172,16.988932,0
6.34,6.34,0.62,-0.011,15.350447,1
8.45,3.4,0.81,0.098,16.107395,1
9.3,6.01,1.64,1.169,18.194374,0
7.68,2.54,2.07,1.024,14.704168,0
7.64,1.46,0.97,1.533,13.461764,0
8.71,2.33,1.23,0.941,15.54678,0
7.39,3.24,1.03,-0.165,14.942724,1
5.83,5.68,1.09,0.743,14.601742,0
8.38,6.5,0.81,0.43,17.444569,1
7.76,5.33,0.71,1.095,16.393637,0
7.8,2.77,0.99,1.208,15.0124,0
6.74,8.67,0.89,1.136,16.430096,0
8.7,0.7,1.18,1.009,12.925489,0
9.39,6.28,2.48,0.443,18.379799,1
7.98,4.41,0.82,0.97,16.202192,0
8.35,6.9,1.41,0.437,17.544247,1
7.11,8.6,1.43,0.433,16.782494,1
7.89,1.58,1.13,1.642,13.8832855,0
6.51,4.65,0.75,-0.07,14.847265,0
6.47,8.65,0.94,0.242,16.155079,1
9.08,3.71,4.96,0.495,16.92687,1
8.74,2.68,1.12,1.118,15.880674,0
9,66.46,1.27,1.289,23.1128,1
7.48,2.08,1.1,1.185,14.070316,0
8.77,1.89,1.32,1.282,15.152309,0
6.25,5.98,0.95,1.225,15.133506,0
9.41,5.85,1.39,0.75,18.245779,1
8.98,4.94,1.1,0.94,17.448635,0
9.07,10.93,1.55,0.68,19.2631,1
8.85,7.79,2.24,0.631,18.307688,1
9.14,2.59,0.91,1.019,16.2065,0
9.43,2.26,1.53,0.39,16.200542,1
7.39,3.7,0.93,1.417,15.231009,0
7.11,3.65,0.87,1.528,14.921465,0
7.48,2.2,0.85,1.64,14.192114,0
5.9,5.46,0.74,1.536,14.585962,0
8.38,7.21,0.72,0.404,17.669676,1
8.34,2.28,0.77,0.918,15.129675,0
10.28,6.72,2.13,0.405,19.416847,1
9.09,2.76,1.43,1.478,16.294546,0
9.39,4.39,1.51,0.448,17.602322,1
6.32,6.95,0.81,1.099,15.529924,0
9.42,6.37,2.74,0.519,18.440697,1
7.79,0.93,0.96,0.364,12.632415,0
6.25,2.45,0.69,-0.042,13.19583,0
5.76,122.75,1.41,0.88,21.205109,1
5.92,23.46,1.02,0.302,17.77164,1
7.15,5,0.9,1.2,15.64485,0
8.76,9.45,1.08,0.546,18.63716,1
6.6,8.06,0.74,-0.04,16.131676,0
8.68,7.89,2.34,0.529,18.165386,1
8.07,23.61,1.03,0.651,19.93548,1
10.36,52.71,5.18,1.34,23.969465,1
8.83,21.22,1.32,0.761,20.463728,1
8.77,3.59,0.96,1.157,16.545473,0
7.17,16.15,0.6,0.587,18.210863,1
5.42,11.31,0.85,0.146,15.687313,0
7.1,5.22,0.6,0.906,15.688353,0
8.19,3.64,1.03,0.97,15.995506,0
7.65,3.47,0.99,1.368,15.351647,0
9.29,7.89,1.37,0.657,18.775385,1
7.52,4.12,1.01,0.99,15.594486,0
8.6,2.45,1.22,0.741,15.545831,0
9.49,16.32,0.99,0.739,20.5536,1
8.57,5.54,1.17,0.3,17.287548,0
2.04,34.04,0.82,1.019,14.699948,0
8.01,2.89,1.07,0.912,15.314489,1
8.37,3.25,1.5,0.952,15.929417,0
7.54,6.94,0.79,0.203,16.746798,1
8.11,3.63,0.96,1.109,15.9095335,0
12.1,269.05,7.57,1.85,29.249165,1
7.95,6.12,0.97,1.067,16.883757,1
8.1,7.67,1.1,0.944,17.523977,1
7.49,0.65,0.67,1.645,11.554566,0
8.78,1.29,1.02,1.156,14.332949,0
6.26,6.17,0.84,1.013,15.211426,0
8.98,3.36,1.48,0.966,16.611696,1
7.35,8.87,1.48,1.205,17.089619,0
5.89,3.81,0.71,-0.146,13.794624,1
7.44,-0.47,1.17,1.633,10.800489,0
5.38,12.69,0.72,1.069,15.897309,0
6.89,11.66,1.54,0.362,17.223492,1
9.27,11.94,1.24,0.576,19.655022,1
9.5,5.59,1.5,0.493,18.23706,1
9.45,0.63,1.15,1.415,13.446703,1
6.98,3.31,1.11,1.6,14.57914,0
7.68,2.96,0.87,1.57,15.036459,1
7.18,1.72,0.81,1.303,13.357642,0
8.79,7.79,0.91,0.88,18.247688,1
9.35,2.9,1.28,0.921,16.661991,1
7.02,8.41,1.01,1.099,16.64398,0
8.44,3.43,1.18,1.217,16.11647,0
7.09,7.03,0.89,0.999,16.324776,0
7.82,3.11,1.03,1.323,15.283802,0
9.47,2.76,1.56,0.442,16.674545,1
8.52,3.71,1.19,1.175,16.36687,0
5.08,6.45,0.63,-0.098,14.127798,0
8.11,1.67,1.1,1.579,14.223581,0
8.86,2.32,1.09,1.096,15.687439,0
7.37,5.11,0.84,0.167,15.912105,1
7.91,31.35,1.28,0.799,20.391188,1
8.39,3.68,0.99,1.367,16.21924,0
8.45,1.26,1.06,1.467,13.951853,0
9.21,3.5,1.17,0.36,16.93034,1
8.06,2.14,0.93,1.378,14.7120695,0
7.87,9.31,0.82,0.23,17.714748,1
8.67,0.49,1.35,0.263,12.12098,1
5.7,8.79,0.53,1.264,15.419944,0
6.78,9.06,0.56,0.451,16.565641,0
7.23,2.76,0.9,1.593,14.4345455,0
9.34,6.37,2.22,0.771,18.360697,1
9.72,6.07,0.94,0.57,18.635944,1
9.25,9.57,1.38,0.465,19.15456,1
8.8,4.94,1.29,0.331,17.268635,0
9.21,3.97,1.4,0.533,17.203953,1
3.95,20.12,0.56,-0.002,15.46814,1
7.88,14.56,1.06,0.447,18.695807,1
7.33,25.39,0.62,0.629,19.353313,1
4.34,19.34,0.76,0.871,15.772284,0
9.07,0.42,1.22,0.68,12.186246,0
8.11,5.17,1.74,1.031,16.677452,1
7.44,5.17,0.92,1.279,16.007452,0
9.14,2.93,1.38,1.08,16.474339,0
6.99,4.25,0.78,1.187,15.131945,0
7.81,7.56,0.99,0.449,17.202608,1
8.92,12.57,1.05,0.609,19.416676,1
9.71,-0.04,1.5,0.442,7.7202997,0
8.91,4.04,0.99,1.047,16.941906,0
9.26,4.59,1.29,0.3,17.569065,1
9.4,7.39,0.96,0.506,18.743221,1
9.27,5.5,1.45,0.528,17.971813,1
8.9,3.99,1.14,1.403,16.904865,0
6.85,1.79,0.81,1.6,13.114265,0
8.77,14.87,1.19,0.531,19.631554,1
9.39,7.04,1.42,0.552,18.627865,1
8.71,5.42,0.85,0.452,17.379997,1
8.76,4.07,1.22,1.077,16.807972,0
9,2.24,1.16,0.003,15.75124,1
10.12,2.83,1.66,0.364,17.378933,1
7.86,10.58,1.04,0.759,17.982428,1
8.06,27.87,0.69,0.849,20.285686,1
9.15,2.75,1.14,0.363,16.346664,0
8.66,2.38,0.88,0.79,15.542885,0
8.32,0.25,1.19,1.385,10.3097,0
9.81,0.93,1.43,0.277,14.652415,1
4.79,24.49,0.78,0.29,16.734943,1
6.77,38.86,0.83,0.648,19.717514,1
7.45,9.78,0.64,0.332,17.401695,1
7.01,29.65,0.71,0.567,19.370125,1
8.73,0.85,1.02,1.321,13.377094,0
9.2,4.06,1.12,0.228,17.24263,0
6.18,13.01,0.76,0.447,16.751387,0
9.67,2.19,1.68,0.524,16.372221,1
9.69,2.8,1.12,1.258,16.925789,0
9.95,4.01,1.62,0.5,17.965721,1
8.03,2.9,0.87,1.146,15.3419895,0
8.49,4.61,1.26,0.34,16.808504,1
9.08,2.61,1.53,1.296,16.163202,0
7.87,3.96,1.04,1.047,15.858477,0
7.46,5.31,0.88,0.729,16.085472,0
7.61,2.84,0.73,1.626,14.876593,0
6.63,2.53,0.62,1.697,13.645603,0
7.34,3.15,0.65,1.496,14.8315525,0
5.14,4.97,0.78,1.587,13.62178,0
9.38,7.63,1.46,0.643,18.792622,1
8.43,4.06,1.16,1.484,16.47263,0
9.49,8.31,1.44,0.476,19.088005,1
8.7,4.58,0.88,0.954,17.004328,0
8.66,21.09,1.23,0.743,20.280384,1
7.72,24.8,0.89,0.613,19.692257,1
6.58,5.18,0.71,1.189,15.1516485,0
8.8,2.23,1.04,1.004,15.541525,0
8.07,0.64,1.12,1.322,12.100899,0
9.12,2.4,1.13,0.687,16.021057,1
9.4,3.98,1.51,0.98,17.399414,0
5.73,5.32,0.56,1.574,14.359558,0
9.81,3.85,1.39,0.437,17.737305,1
6.06,17.66,0.72,0.271,17.294952,1
6.39,8.41,0.77,1.122,16.013979,0
9.19,8.06,1.33,0.626,18.721676,1
9.62,1.75,1.26,1.116,15.83519,0
8.96,11.64,1.36,0.62,19.289764,1
7.93,0.72,0.89,-0.05,12.216662,0
7.1,3.9,1.05,1.494,15.055323,0
8.06,37.33,0.97,0.758,20.92029,1
8.76,12.01,1.22,0.534,19.157715,1
8.77,0.95,1.17,1.071,13.658619,1
8.95,7.26,0.95,0.513,18.254684,1
7.31,14.28,0.92,0.493,18.083641,1
9.84,5.02,1.48,0.434,18.34352,1
8.32,3.25,0.86,0.936,15.879416,0
5.41,5.61,0.92,1.346,14.154814,0
8.79,1.16,1.17,1.234,14.112289,0
8.82,13.43,1.16,0.537,19.46038,1
8.34,7.29,1.17,1.008,17.653637,0
8.81,0.16,1.08,0.26,9.830601,0
7.89,9.01,0.94,1.027,17.663624,1
7.7,3.05,1.62,1.198,15.121499,0
8.54,11.65,0.8,0.551,18.87163,1
9.93,3.5,0.98,0.522,17.650341,1
7.83,4.32,0.9,0.104,16.00742,1
6.01,18.76,0.92,1.107,17.376165,0
9.41,11.37,1.51,0.629,19.6888,1
6.92,0.07,0.76,1.852,6.14549,0
9.54,9.8,1.33,0.722,19.49613,1
8.9,2.74,1.19,1.064,16.088753,0
9.6,2.62,1.85,0.415,16.691507,1
9.13,3.68,1.25,1.066,16.95924,0
4.25,48.94,0.53,0.48,17.698318,1
8.85,3.42,0.86,1.071,16.52013,0
8.22,11.98,1.7,0.614,18.612286,1
8.74,11.1,1.27,0.601,18.966614,1
11.21,20.26,2.65,1.47,22.743198,1
9.21,6.6,1.1,0.38,18.30772,1
9.1,0.92,1.07,1.137,13.91894,0
6.67,5.96,0.76,1.349,15.546231,0
8.4,0.8,1.84,0.413,12.915449,1
8.71,5.93,0.98,1.141,17.575274,0
8.05,9.67,1.51,0.609,17.97713,1
8.2,2.54,0.77,1.17,15.224169,0
9.09,1.78,1.09,1.223,15.3421,0
8.85,4.54,1.24,1.273,17.13528,0
8.78,4.95,1.21,0.409,17.253025,1
8.79,3.13,1.31,0.979,16.267723,0
2.01,49.48,0.99,1.151,15.482148,0
8.61,0.99,1.03,0.444,13.588176,0
9.44,4.91,1.3,0.587,17.895409,1
9.3,8.91,1.67,0.724,19.049389,1
10.34,3.05,3.42,0.335,17.7615,1
5.87,8.27,1.28,0.635,15.457527,1
9.03,1.59,1.54,1.751,15.036985,0
8.47,9.52,1,0.433,18.363186,1
8.59,3.07,0.76,0.995,16.025692,0
9.17,1.66,1.25,0.911,15.27054,0
7.37,4.22,0.67,1.086,15.496562,0
8.47,2.61,1.04,1.364,15.553203,0
7.33,5.78,0.89,1.033,16.139639,0
8.99,1.4,1.14,1.153,14.72064,0
9.58,4.59,1.21,0.5,17.889065,1
7.55,37.71,1.14,0.753,20.432281,1
6.58,6.88,0.76,0.99,15.767942,0
8.05,3.38,0.89,0.431,15.694584,0
9.31,5.31,1.31,0.573,17.935474,1
8.44,5.04,0.79,0.556,16.952152,1
7.27,8.4,0.97,0.448,16.891396,1
4.61,25.38,1.05,1.029,16.632458,0
4.97,66.43,0.64,0.571,19.081821,1
8.34,5.64,0.99,0.96,17.096395,0
6.84,21.86,0.53,0.576,18.53825,1
9.39,3.21,1.41,0.852,16.922525,0
7.34,6.83,0.94,0.975,16.512104,1
8.72,6.37,0.9,0.923,17.740696,0
5.66,8.94,0.5,0.939,15.416688,0
9.61,3.62,1.58,0.563,17.403542,1
6.91,1.07,0.56,-0.023,12.056919,1
8.8,5.27,1.12,1.031,17.409054,0
8.16,7.89,1.06,0.424,17.645386,1
7.17,22.34,0.65,0.808,18.915417,1
8.68,6.06,1.2,0.49,17.592363,1
9.67,2.83,1.45,0.397,16.928932,1
8.06,4.15,1.01,0.402,16.150242,1
7.96,18.93,1.7,0.672,19.345753,1
8.73,0.47,1.29,1.326,12.090488,0
7.62,6.24,0.98,0.98,16.595924,0
8.36,3.28,1.28,1.4,15.939369,0
9.35,13.79,1.38,0.655,20.047821,1
5.79,5.05,0.87,1.595,14.306457,0
8.25,7.61,1.14,0.416,17.656923,1
8.68,17.32,1.19,0.638,19.87274,1
10.82,4.31,1.84,0.222,18.992386,1
7.47,2.01,0.96,1.62,13.98598,0
8.51,1.8,0.83,1.576,14.786363,0
9.08,6.86,1.15,0.398,18.26162,1
9.42,11.19,1.5,0.831,19.66415,1
7.46,4.15,0.66,1.072,15.5502405,0
6.35,7.35,0.74,1.222,15.681437,0
8.68,3.85,1.49,0.3,16.607304,1
9.49,16.17,1.37,0.732,20.53355,1
7.21,4.78,0.59,0.916,15.60714,0
9.99,5.58,1.46,0.701,18.723171,1
8.83,2.37,1.62,1.083,15.703741,1
6.72,8.31,0.9,1.176,16.318005,0
9.7,-1.61,1.76,0.348,15.734129,1
9.07,6.14,1.12,0.47,18.010841,1
8.78,6.82,1.19,0.56,17.948921,1
6.66,6.07,0.95,0.961,15.575943,0
8.98,6.05,1.01,0.403,17.888777,1
8.32,16.36,2.34,0.796,19.388916,1
9.67,2.45,1.51,1.249,16.61583,0
6.88,27.04,0.86,0.624,19.040035,1
6.37,36.89,0.72,0.523,19.204544,1
9.78,1.11,2.81,0.598,15.006615,1
9.78,2.95,1.42,0.384,17.12911,1
9.81,2.91,1.56,0.54,17.129465,1
8.69,13.03,0.75,0.586,19.26472,1
6.49,10.31,0.82,0.286,16.556293,0
6.21,30.26,0.69,0.504,18.614346,1
8.49,8.41,0.87,0.528,18.11398,1
8.96,4.39,1.29,0.306,17.172321,1
6.93,4.29,0.83,0.94,15.092287,1
8.03,7.01,0.93,0.237,17.25859,1
9.44,0.58,1.57,1.069,13.257139,1
8.59,0.92,0.82,1.593,13.408939,0
10.28,6.34,2,0.503,19.290447,1
6.83,3.66,0.83,1.197,14.647406,0
5.58,14.21,0.77,0.346,16.34297,1
8.58,16.89,1.41,0.648,19.718147,1
7.96,27.32,0.84,0.651,20.142403,1
8.86,3,1.12,1.111,16.245605,0
8.87,5.03,1.18,0.523,17.37784,1
8.12,5.26,1.1,1.039,16.72493,1
8.47,23.55,1.01,0.446,20.329956,1
5.57,8.99,0.6,-0.072,15.3387985,1
8.95,14.58,0.91,0.529,19.768787,1
7.32,13.81,1.01,0.391,18.02097,1
9.34,10.33,1.32,0.651,19.410501,1
10.9,0.82,1.83,0.469,15.469069,1
8.45,3.36,1.15,1.214,16.081696,0
9,11.13,1.13,0.656,19.232475,1
8.51,-0.48,1.67,0.219,11.916206,1
7.01,4.75,0.86,1.226,15.393469,0
6.69,3.88,0.82,1.556,14.634159,0
7.07,6.01,0.82,1.166,15.964373,0
9.02,3.32,1.47,1.121,16.62569,0
8.8,3.49,1.48,1.128,16.514128,0
7.08,6.22,0.88,1.186,16.048952,0
6.56,6.05,0.87,1.074,15.468777,0
8.65,4,0.79,1.136,16.660301,0
4.39,10.15,0.6,1.597,14.422329,0
7.28,12,2.24,0.192,17.675907,1
8.29,2.49,1.06,1.32,15.270996,0
7.31,6.95,0.65,1.068,16.519924,0
8.72,3.88,1.27,1.037,16.66416,0
6.38,7.58,0.79,0.965,15.778346,0
7.82,3.14,0.81,1.179,15.304648,0
8.61,3.09,0.96,1.039,16.059792,0
9.33,1.29,1.61,1.047,14.882949,0
9.54,7.37,1.24,0.52,18.877338,1
8.42,5.62,1.23,0.74,17.168682,1
8.25,1.86,0.73,1.026,14.597565,0
8.85,14.35,1.26,0.557,19.63426,1
9.12,1.37,1.12,1.208,14.803602,0
8.89,10.92,1,0.667,19.081116,0
7.47,15.08,0.88,0.468,18.362007,1
8.89,1.51,1.04,1.001,14.784885,0
7.43,5.34,0.81,1.061,16.067705,0
9.37,-0.9,0.91,1.308,14.141212,0
9.54,7.24,1.35,0.36,18.838692,1
5.94,10.1,0.68,1.045,15.961607,0
8.03,0.09,1.16,1.426,7.8012123,0
8.73,15.32,1.34,0.707,19.656294,1
7.63,3.56,0.93,1.463,15.38725,0
8.09,4.16,0.96,1.061,16.185467,0
10.24,3.82,3.43,0.402,18.150318,1
8.85,8.31,1.26,0.618,18.448006,1
6.2,6.56,0.7,1.376,15.284519,0
9.14,2.6,1.43,1.053,16.214867,0
9.37,25.82,1.56,0.794,21.429783,1
6.08,6.03,0.79,1.216,14.981586,0
9.16,0.5,0.97,1.074,12.65485,0
7.57,2.59,1.1,1.322,14.636499,0
7.41,5.58,0.89,1.028,16.143171,0
9.56,7.06,1.25,0.659,18.804024,1
8.84,8.87,1.28,0.517,18.579618,1
7.42,9.55,0.76,0.191,17.320017,1
8.96,8.71,1.43,0.488,18.660091,1
7.41,2.13,0.73,1.348,14.051898,0
4.97,4.65,0.55,-0.084,13.307264,0
8.15,0.47,1.09,1.376,11.5104885,0
8.49,1.97,1.24,1.63,14.962331,0
8.66,2.34,1.18,1.05,15.506079,0
9.08,2.01,0.92,1.16,15.59598,1
8.75,5.78,1.93,0.493,17.559639,1
7.26,10.48,0.6,0.962,17.361807,0
8.09,3.71,0.92,1.365,15.936871,0
8.65,3.72,1.21,1.415,16.502714,0
9.38,3.38,1.1,0.511,17.024584,1
8.68,3.07,1.04,1.065,16.115692,0
7.68,5.4,0.92,1.062,16.341969,0
8.27,3.97,1.02,1.359,16.263954,0
8.8,2.51,1.09,0.17,15.798368,0
8.22,4.65,0.98,1.016,16.557266,1
6.11,9.35,0.85,0.27,15.964058,1
8.93,24.32,0.85,0.797,20.859818,1
9.21,0.73,1.43,1.086,13.526614,0
8.32,4.74,0.79,0.361,16.69889,0
8.79,0.04,1.18,0.979,6.8002996,0
5.39,13.86,0.61,0.9,16.098816,0
8.24,11.53,1.14,0.52,18.549147,1
8.19,10.23,0.94,0.98,18.23938,0
8.61,2.46,1.32,2.157,15.564675,0
7.94,13.78,1.06,0.824,18.636248,1
8.33,2.19,1.17,1.107,15.032221,0
8.45,5.13,1.99,0.976,17.000587,0
9.42,4.32,1.12,0.623,17.59742,1
7.98,2.88,0.86,1.068,15.276962,0
9.53,0.18,1.79,0.691,10.806362,0
6.52,47.65,0.6,0.686,19.910315,1
8.19,1.78,0.77,1.332,14.4421,0
9.59,1.12,1.45,0.76,14.83609,0
9.48,1.93,1.16,1.087,15.907785,0
7.28,5.82,0.6,1.165,16.104614,0
6.83,4.74,0.76,1.429,15.208892,0
8.29,2.83,1.09,1.183,15.548932,1
7.88,3.97,0.76,1.181,15.873953,0
8.69,1.49,1.25,1.147,14.555931,0
9.04,2.5,1.6,1.322,16.029701,0
7.21,14.49,0.94,0.406,18.015343,1
9.2,5.37,1.37,1.517,17.849873,0
8.76,4.55,1.3,1.044,17.050056,0
8.92,4.33,2.16,0.417,17.10244,1
9.38,11.99,1.12,0.578,19.774097,1
5.29,5.33,0.87,1.478,13.923636,0
9.11,2.38,1.21,0.924,15.992885,0
10.14,9.09,1.75,0.596,19.93282,1
9.74,5.61,1.61,0.737,18.484814,1
6.69,4.96,0.83,-0.006,15.167408,1
8.41,6.58,0.94,0.563,17.50113,1
2.82,133.78,0.51,0.618,18.451956,1
5.28,7.3,0.7,0.972,14.596615,0
6.53,7.97,0.79,1.041,16.037292,0
9.06,6.15,1.21,0.438,18.004375,1
7.7,9.52,1.07,0.559,17.593185,1
9.4,6.3,1.42,0.51,18.396702,1
8.24,3.36,0.87,1.289,15.871696,0
9.17,5.21,1.27,0.458,17.754189,1
5.55,8.75,0.8,0.901,15.26004,0
9.58,6.86,0.87,0.587,18.76162,1
8.63,9.73,1.07,0.463,18.570564,1
7.64,3.42,0.87,1.473,15.310131,0
6.68,3.64,0.86,0.084,14.485507,1
9.44,1.76,1.05,0.225,15.667563,1
6.04,10.36,0.94,1.163,16.116798,0
6.55,4.11,0.89,1.389,14.619209,0
